pricePerSqm,latitude,longitude,rooms,buildingMaterial,type,buildYear,hasElevator,hasBalcony,condition,hasParkingSpace,squareMeters,hasSecurity,floorCount,floor,hasStorageRoom
20841.1214953271,52.26266054,20.97749906,2.0,concreteSlab,blockOfFlats,1962.0,yes,yes,not known,no,53.5,yes,7.0,4.0,yes
12483.333333333334,52.22529,21.17757,3.0,brick,tenement,1950.0,no,no,not known,no,60.0,yes,2.0,1.0,yes
23709.677419354837,52.24396,20.98956,2.0,brick,tenement,1950.0,no,no,not known,no,31.0,no,3.0,3.0,no
16500.0,52.2530391,21.0412573,2.0,brick,blockOfFlats,2020.0,yes,yes,low,no,50.0,no,5.0,1.0,no
15974.440894568688,52.2577603,20.9945333,3.0,brick,apartmentBuilding,1995.0,yes,no,low,yes,93.9,no,12.0,10.0,no
21000.0,52.160438,21.0783996,2.0,brick,apartmentBuilding,2009.0,yes,no,premium,no,58.0,no,4.0,2.0,no
11847.457627118643,52.34425395,20.97273154,3.0,brick,blockOfFlats,2010.0,no,yes,not known,yes,59.0,no,3.0,2.0,no
19990.248659190638,52.18796,20.99394,2.0,brick,apartmentBuilding,2012.0,yes,yes,not known,no,61.53,yes,9.0,5.0,yes
14234.875444839858,52.3429985,21.05109351,3.0,brick,blockOfFlats,2015.0,no,yes,premium,no,56.2,no,2.0,1.0,no
17424.242424242424,52.2029533005673,20.947308826957,3.0,brick,apartmentBuilding,2008.0,yes,no,not known,yes,66.0,yes,8.0,6.0,no
16610.169491525423,52.2749331,20.92807605,3.0,brick,blockOfFlats,2005.0,no,yes,not known,no,59.0,no,4.0,2.0,yes
13472.868217054263,52.19691,20.85815,3.0,brick,blockOfFlats,2012.0,yes,yes,not known,no,64.5,yes,7.0,7.0,no
17777.777777777777,52.2100435,21.068284,2.0,brick,blockOfFlats,2014.0,yes,yes,not known,yes,45.0,no,3.0,1.0,no
14456.140350877193,52.28123,20.95924,3.0,concreteSlab,blockOfFlats,1970.0,yes,no,not known,no,57.0,no,10.0,3.0,no
